Hurt,伯贤,https://music.163.com/#/song?id=1843721443,1843721443
The Nights,Avicii,https://music.163.com/#/song?id=1842927461,1842927461
9 5 . s o u t h,J. Cole,https://music.163.com/#/song?id=1844668197,1844668197
人生啊,摩登兄弟刘宇宁,https://music.163.com/#/song?id=1838485946,1838485946
无名浪潮,欧阳娜娜,https://music.163.com/#/song?id=1838962736,1838962736
Run,OneRepublic,https://music.163.com/#/song?id=1842561312,1842561312
数羊,旺仔小乔,https://music.163.com/#/song?id=1837826526,1837826526
Save Your Tears (Remix),The Weeknd,https://music.163.com/#/song?id=1839418993,1839418993
Higher Power,Coldplay,https://music.163.com/#/song?id=1842286694,1842286694
You,Regard,https://music.163.com/#/song?id=1835950126,1835950126
艳丽芬芳,要不要买菜,https://music.163.com/#/song?id=1843278263,1843278263
灯火里的中国,张也,https://music.163.com/#/song?id=1837528900,1837528900
蝴蝶泉边,斯斯与帆,https://music.163.com/#/song?id=1842767561,1842767561
如何爱他像你,王贰浪,https://music.163.com/#/song?id=1840024022,1840024022
还是,马也_Crabbit,https://music.163.com/#/song?id=1840444005,1840444005
MATILDA+Indigo (？歌手) (。歌手),房东的猫,https://music.163.com/#/song?id=1844714506,1844714506
l e t . g o . m y . h a n d,J. Cole,https://music.163.com/#/song?id=1844668201,1844668201
我们,野区歌神,https://music.163.com/#/song?id=1839717542,1839717542
Pull The Trigger,夏日入侵企画,https://music.163.com/#/song?id=1842535611,1842535611
毒药,皮卡潘,https://music.163.com/#/song?id=1840853459,1840853459
梦终归,黄明昊 (Justin),https://music.163.com/#/song?id=1844435726,1844435726
排爆 (feat. 马思唯) ,KnowKnow,https://music.163.com/#/song?id=1841293351,1841293351
悠闲,沈以诚,https://music.163.com/#/song?id=1819028025,1819028025
爱你的决定,棉子,https://music.163.com/#/song?id=1844210074,1844210074
荣耀我的Hood,盛宇DamnShine,https://music.163.com/#/song?id=1842123929,1842123929
莫斯科没有眼泪,硬糖少女303陈卓璇,https://music.163.com/#/song?id=1843891529,1843891529
专属蓝天,摩登兄弟刘宇宁,https://music.163.com/#/song?id=1839920841,1839920841
如果你听见 (I'M NOT GOOD),袁娅维,https://music.163.com/#/song?id=1838982496,1838982496
Mood (Lil Ghost Remix),24kGoldn,https://music.163.com/#/song?id=1840808119,1840808119
海底（Live）,凤凰传奇,https://music.163.com/#/song?id=1840192925,1840192925
不加糖 (ZERO),白敬亭,https://music.163.com/#/song?id=1843007757,1843007757
环绕,张哲瀚,https://music.163.com/#/song?id=1841194853,1841194853
乌鸦,许嵩,https://music.163.com/#/song?id=1842784921,1842784921
冰柜,许嵩,https://music.163.com/#/song?id=1842801466,1842801466
科幻,许嵩,https://music.163.com/#/song?id=1842801328,1842801328
假摔,许嵩,https://music.163.com/#/song?id=1842801269,1842801269
My Cookie Can,Ayi,https://music.163.com/#/song?id=1841521017,1841521017
恋爱画板,锦零,https://music.163.com/#/song?id=1837557715,1837557715
爱人错过 (Live),刘逸云 Amber Liu,https://music.163.com/#/song?id=1843030961,1843030961
Giant,宋雨琦,https://music.163.com/#/song?id=1844442254,1844442254
如何 (Skyline),焦迈奇,https://music.163.com/#/song?id=1840980719,1840980719
溯 (Reverse) (Live),CORSAK胡梦周,https://music.163.com/#/song?id=1839480696,1839480696
庞贝,许嵩,https://music.163.com/#/song?id=1842802205,1842802205
超市,许嵩,https://music.163.com/#/song?id=1842802179,1842802179
